song,artist
All For Nothing,Since The Flood
I've Got a Home,Five Blind Boys of Alabama
My Melody Of Love,Ray Conniff
Felicidades,Arco Iris
Les Grande Bois,Jo-El Sonnier
Jacques Your Body (Make Me Sweat)/ Sounds Of Wickedness (PF Project Def Scratch Mix),Les Rythmes Digitales/ Tzant Feat. ODC MC
Prison Bound Blues,David Evans
Zero Db (drum solo by Frank Katz),Brand X
Joking,Speaker
Water Blazz (Chill House mix),Christos Kedras
Safe Passage,Michael Gettel
What Child Is This?,Gold City
Not Right (Remastered LP Version),The Stooges
Shuo Ni Ai Wo,Will Pan
Lagian ne maujan,Faiz Ali Faiz
Fantasie (Extended Version),Paso Doble
That Rock Won't Roll,Restless Heart
Wake The Sleeper,Uriah Heep
Salzanitos,Juan Carlos Baglietto
Katie's Song,Darryl Worley
Get Money,Mykill Miers
Start The Fire,Margaret Becker
Warum rappst du?,Kool Savas
One Eyed Jack,Joe McBride
Te estoy saboreando,Abracadabra
EU A4,Stress Assassin
Olha Pro Ceu,Quinteto Violado
Seed,Paloalto
Ask Fi War,Bounty Killer
Desde mi cielo,Mago de Oz
You Said You Loved Me,Orchids
Gone,Sugarbomb
Don't Lie,Dead To Me
Into My Eyes,Cherrelle
Almost Us,Jim Chappell
Pretty Woman (LP Version),The Paul Butterfield Blues Band
Intermezzo,The American Boychoir
Healed (LP Version),Shirley Caesar
Don't Let Your Heart Be Hardened (This Means War Album Version),Petra
Violence in Fluid Triceratops,Arsonists Get All The Girls
El Capitan (1998 Digital Remaster),Felix Slatkin/Concert Arts Symphonic Band
The Same Love That Made Me Laugh  [LP Version],Irma Thomas
Chorando Baixinho,Yamandu + Dominguinhos
How Can You Resist It,Teena Marie
He Will Break Your Heart,Jerry Butler
4/20/02,Pearl Jam
For You,Mr. Lif
Up North Trip,Mobb Deep
Rhumboso,Nestor Torres
Canto Triste,Edu Lobo
Eso No Tiene Remedio,Orquesta Aragon
One More Go Round,James Taylor
Isn't Radio,Roommate
Surf Bat (Album Version),45 Grave
Say Your Prayers,Gang Starr
The Kiss: Chris & The Model Airplane,Philip Glass
I Dream Of Chi Chi,Brian Tyler
Variations Sur Un Theme De Haydn Op51,Herbert Von Karajan
The Jezebel Spirit,Brian Eno And David Byrne
Dum Dum (Marble Breaks And Iron Bends),The Dee Jays
Le chacha des gorilles,Bézu
You Tell Me,Johnny Cash
They Held Hands,Dave Rave_ Mark McCarron
Tiempos Dificiles,Juan Carlos Baglietto
My Way,Little Milton
Goodbye (Solo Version),Billy Bragg
Go Back,Crabby Appleton
1. Molto allegro con fuoco,Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt
Breiz Ma bro,André Blot
As The Hog Pisseth,All Leather
E Samba (Accapella),Junior Jack
Rock N Roll,Remi Nicole
Face To Face,Damita Jo
Rompan Todo,2 Minutos
Fin De Semana,Estrellas Cubanas
Santa Monica (Version Originale 1980),Alain Turban
Chime (edit),Orbital
Cutdown,Bongzilla
Bagdad by night,Ministère des Affaires Populaires
I'm Not Worth the Tears,Dolly Parton
Are We Here ?,Orbital
So Beautiful,Jarvis Church
Say Hello,April Wine
Stay Close To Me,Margaret Becker
I'm Down,Goldfinger
Alone Together,Charlie Haden & Chris Anderson
With Strength I Burn,Emperor
El Ausente/ El Preso/ El Caminante/ Tania,Fruko Y Sus Tesos
Echo,Joe Satriani
Locomotive (Complicity),Guns N' Roses
Château de sable,Rokia Traoré
La Palabra Fin,Johnny Pacheco/Rolando La Serie
Crash Course,UK Subs
September Song,Tony Martin
Missing You For A Mile,Beres Hammond
Strange Fruit,James Carter
Flight Of Earls,Barley Bree
The Luck You Got,The High Strung
Guided By History,Mithotyn
Turn It Out,Larry Graham & Graham Central Station
Search For Jenny,Francis Lai
Xiao Shuo Xiang,Leo Ku
Serenade,Slim Whitman
Rodriguez Pena,Jo Privat
Hey Joe,Carl Smith
I'm Free,Jah Cure
Down On Him,Pursuit Of Happiness
Enough,Storyville
Melodia Simple,La Mancha De Rolando
Destined To Win,DeGarmo & Key
Ma Douleur...,Julie Zenatti
Tell It Like It T-I-IS (Album Version),The B-52's
Termina La Feria,Gloria Lasso
I'm Wrong,Dave Hollister
Au Bout De La Marelle,Patrick Bruel
Ley Lines,Embrace the End
Sirène,Marc Perrone
The Journey North,Michael Gettel
I've Been Thinking featuring Cat Power (Album Version),Handsome Boy Modeling School
Even A Child - Proverbs 20:11,Steve Green
I Saw An Angel,Pentangle
Happiness Stan - Original,Small Facers
The Mighty SB,Michael Landau
Begin The Beguine,Los Tres Diamantes
Rain from the Skies Mix 2,Delroy Wilson
Porque Yo Te Amo,Leonardo Favio
Trane's Strain,Jack Sheldon
Heaven Only Knows,K-OS
Baby_ Baby_ Baby,Bob Margolin
If You Smile At The Sun,Kitty Kallen
It Killed Mom,The Oh Sees
Lover Come Back To Me,Candlebox
When,Wilshire
Die Kunst der Fuge_ BWV 1080 (2007 Digital Remaster): Contrapunctus XVII - Inversus,Lionel Rogg
I Remember (amended album version),Lil Boosie
Disconnected,Cowboy Mouth
Beat Conductor,Autonomous Bass Heads
Jesus Laughing (Some Things Never Change Version),Mark Lowry
Been There All The Time,Dinosaur Jr.
Loca (a/k/a Crazy) (Version Banda),Marisela
Livre D'orgue (1951) : VII Soixante-Quatre Durées (Remasterisé En 2008),Olivier Messiaen
Fax Me,Supertalented
Making Up For Lost Time (Footprints In The Sand Album Version),Cristy Lane
Lord We Give You All The Praise,The Jackson Southernaires
Sensory Deprivation Adventure,From Autumn To Ashes
Tom Dooley,Kingston Trio
A Brief History of Shitty Comedy,Patton Oswalt
Soopman Luva 6 1/2,Redman / Hurricane G / Melanie Rutherford
Un Ojo Dimos,Barrio Obrero
Dying Batteries,Casiotone For The Painfully Alone
30 Days In The Hole (Live),Humble Pie
25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Fugue,Solomon
A Baby's Born,James Ingram
Like A Prayer (Tribute To Madonna),Hot Wire
Look Up At The Stars And You're Gone,Evergreen Terrace
Cerilene,Sister Hazel
Faces,RUN-DMC
How Does It Feel,Avril Lavigne
The Saga Of Rita Joe,Danilo Perez / Claus Ogerman
Do It To Me,Sasha
Ola ou yé,Patrick Saint-Eloi
Let Me Play With Yo' YoYo,Blind Willie McTell
Subcode,Jah Wobble & Bill Laswell
Part Of Me (LP Version),Vonray
Pack Your Bags (Jake Benson Club Mix),Leana
It Makes No Difference,Jimmie Davis
Hummingbird,Leon Russell
Much Against Everyone'S Advice (Dave Bascombe Radio Mix),Soulwax
Thirteen [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973],Big Star
Where Do We Go Now But Nowhere,Nick Cave & The Bad Seeds
Juliet,The Four Pennies
Let It Flow (Feat. Gauran-T and Freaky Frederali),Five Fingers of Funk
Afraid,Mötley Crüe
Let's Make Love (Album Version),Faith Hill & Tim McGraw
Gun Pull,Theodore Shapiro
Broken Radio,Jesse Malin
Amazing Grace,Bill Murk
A Doce Canção de Nélida,Sivuca & Camerata Brasílica
Sonho (Dream),Nando Lauria
Flight To Jordan,Tito Puente
Street Loafin' Woman,Jimmy McCracklin
Mother Of Greed,Jason & The Scorchers
I Was Blind But Now I See,Greater Vision
Let the Music Use You (Next Generation Mix),Jere McAllister
The Wrapper,Marco Beltrami
Les frelons (Live),Claire Elzière
Flip Over And Upsidedown,Emotion Code
Tule illoin,Fredi
Ho Sake To,Hunters
Ready For The Love,Angela Stewart
Guardian Angel,Since The Flood
Class Compromise (&History's Glory),The Business
You Gotta Go,Fountains Of Wayne
Why Do You Have to Go,Dells
Once,Del Horno
Same Old Song And Dance,Aerosmith
Jane's Theme,Harald Kloser
Best Kept Secret,Dons
¿Y Cómo Es Él?,Jose Luis Perales
Tanguero,Laurindo Almeida / Charlie Byrd
Freestyle Ministry (server Verbals),KRS-One
Sleeping Annaleah (2009 Digital Remaster),Nick Cave & The Bad Seeds
South Side Rep Your Hood (Ringtone_ Sonnerie),Blingtones
Up All Night (Acoustic Live Album Version),Unwritten Law
197666 w/ Special Guest The Confederate Crusader (Album Version),Wednesday 13's Frankenstein Drag Queens From Planet 13
Moving On,Constance Demby
To My Victim's Families,Birds of Prey
Love Is An Uphill Climb  (),David Robertson
He Dreams Of Spaceships,Lorna
This Is Our Album_ Eh?,Bob McKenzie / Doug McKenzie
Stuck On Rewind,Rockit
Juncales,Juan Carmona
Open your Eyes,Call To Preserve
Red Wind (World),R. Carlos Nakai
Corner Story,Del The Funky Homosapien
Your Smile (LP Version),James Darren
3 Deuces,Marcus Miller
Ta Min Vals (Take This Waltz),Ebba Forsberg
So Lonely,The Police
Sin Ti,Anthony Cruz
Frères de sang (feat. Meiway),Aurlus Mabélé
Someone Believes In You - Album Version,Cindy Morgan
Mo lanmou,Patrick Saint-Eloi
Milkcow Blues,Aerosmith
Shawty Say,DJ X-Change
Follow The Leader,Eric B. & Rakim
Room At The Bottom,Vince Guaraldi
A Castle In The Sky,Marty Robbins
Do Somethin' Crazy,Mighty Mighty Bosstones
Le Vivre Pour Le Croire,Akissa
Rudeboy,Aswad
Amsterdamaged,Humanzi
Entre Autre Pas En Traître,Isabelle Adjani
Thine Is The Kingdom,Parachute Band
He Can't Love you,Michael Stanley Band
Sonnenfreunde,Carl Crack
In A Letter To You (Digitally Remastered 98),Eddy Raven
Pamella,Remmy Ongala
I Love You_ You Imbecile,Pelle Carlberg
Love Is So Unkind (Album Version),Gabriela Anders
Greasers,PRE
Andra sidan,Sofia Karlsson
Linda Lou,Bob Wills
Femme du guerrier,Les Ogres De Barback
Wildfire (Album Version),P.O.D.
Worshipper's Medley,Darwin Hobbs
Johnny My Boy - Original,THE AD LIBS
Hypergasm,Chaotica
Coming Undone (Sleazy Days Rock Electro Remix) (Acid Planet Remix -- France),Korn
Stop Complaining/Remix/Jam,Lyrics Born
Don't You Wish It Was True,John Fogerty
I've Been Loving You Too Long (LP Version),Dionne Warwick
Leo's place,Eric Burdon
Victims of the occupation,Anne Dudley
Love Can,David Tao
A Quoi Ca Sert,Julie Zenatti
Fix The Cracks,Humanzi
Sometimes Yes_ Sometimes No,Jill Paquette
Falling In Love,Uriah Heep
Close To The Well (Live),Ivan Parker
[Hidden Track],Galactic
The Cleansing Apparatus,A Different Breed of Killer
I'm Kinda Partial To His Puss (from My Square Laddie),Nancy Walker
See The Lights (2002 Digital Remaster),Simple Minds
Dolor,Los Traileros Del Norte
Little Bluebird,Little Milton
The Painter,Rance Allen Group
Do You Want To,Franz Ferdinand
Cincinnati Ohio,Connie Smith
Ina Your Rights,Aswad
Espana tiene sabor,Los Ninos De Sara
When The Sun Goes Down,Guitar Slim
The Son Shines Down On Me,Asleep At The Wheel
Severe Severing,Klaus Badelt
Shi Guang Ben Shi Wu Zui,Sandy Lam
Not Missing You,Inspector 9
Hope For The Fallen,Call To Preserve
No Rainbow,deadboy & the Elephantmen
Show Some Sign,The Jackson Southernaires
Little Bar Butterfly,Mae West
Too Much Fun,Commander Cody And His Lost Planet Airmen
Evenglow,David & Steve Gordon
My Butcher Man,Memphis Minnie
This Love,Maroon 5
Louise,Willy DeVille
Approach To Danger (Edited),N.W.A.
Big Woman,Washboard Sam
Unforgettable Season,Cut Copy
Somebody Changed the Lock,Tarheel Slim
Only When I'm Drunk,Tha Alkaholiks
Hank & Joe and Me,Johnny Cash
Spanish Nights,Michael Stanley Band
Framed,The Sensational Alex Harvey Band
If I Ever Saw A Good Thing (Album Version),Tony Joe White
Far Beyond The Endless,Moist
Lonely,Akon
Mei Tian Ai Ni Duo Yi Xie,Leon Lai
KOOKOSP}HKIN} - I'VE GOT A LOVELY BUNCH OF COCONUTS-,M.A. Numminen
Slide In - Slide Out,Capital Tax
Talking About It Blues,Otis Taylor
Gaita Pueblera,Gran Coquivacoa
Somewhere Out There (Album Version),Deodato
Sanchez Family,Harry Gregson-Williams
Le Beeatch,Trafik
If You Wanna Be My Friend,Oscar Lima
Franks Plea,Marco Beltrami
Quinze mai,Gus Viseur
Bricks And Mortar,The Jam
Matriarch (LP Version),MICHAEL WHITE
I Think About You (LP Version),Ray Barretto
Plage de Belle Maison,Thomas Battenstein
You And Only You,FFH
I Adara_ To Lenaki Ki I Rinio (Fuss_ Lenaki And Rinio) (2006 Digital Remaster),Viki Mosholiou
Mental Beat,Hanoi Rocks
Won't You Spread Some Flowers On My Grave,Guitar Slim
Thump Thump Da Box,DJ Phiene
Scars and Souvenirs Intro,Max Stalling
Talkin' Bout A Revolution,6CycleMind
Poisonous (Edited) (Feat. Devin The Dude),Dilated Peoples Featuring Devin The Dude
Luna Latina,Nestor Torres
To Bob Ross With Love (Album Version),Gym Class Heroes
Cross The Bridge,Beenie Man
The Distance,Bon Jovi
Jambalaya (On The Bayou),Johnny Copeland
Comeback,Eric Burdon
I Give Up (Album Version),Stellar Kart
Une java,Albert Préjean
I Dunno (LP Version),Georgia Satellites
You're Crazy,Guns N' Roses
Oh! quand je dors,Dennis O'Neill
Main Theme from Jaws,Orlando Pops Orchestra and Andrew Lane
Mine All Mine,Jimmy Wakely
The Small Print,Muse
Termites in the Bathtub,Dntel
Rock 'n' Roll,Generation X
Irapijerkifly,Izzy
Easily,Vivian
Shut Up,Pretty Boy Floyd
This is My Father's World/For the Beauty of the Earth,Glad
Paper Aeroplane (Live From 'Drastic Fantastic' Tour),KT Tunstall
Agenda Zwei Null Eins Null,Django Asül
From a Jack To a King,Ned Miller
Drinkin' Wine - Original,Gene Simmons
Str8 M.O.B.,Assassin
Crazy,Aerosmith
Out in the Streets,The Shangri-Las
Reinvigorated (Maschinenkult_ Pt. 1),Herbst9_ Z'ev
La vie d'artiste,Michèle Arnaud
After The Glitter Fades (LP Version),Glen Campbell
Viimeinen lento,Kaija Koo
Wanted Dead Or Alive,L.A. Guns
Say Something [featuring Jean Grae] (Album Version),Talib Kweli
Scrimmage,Gerald Clayton
Farenheit 303,Orbital
Give My Heart A Break aka You Don't Seem To Understand,Jimmy McCracklin
So It Goes,Mister Ries
summer jam,Set Your Goals
India,Jeff Wahl
Horn Webb,Art Ensemble Of Chicago
Come Emmanuel (House Of Worship Album Version),Twila Paris
Vegetable (Live),Radiohead
Contagious,Ill Harmonics
Amazing Grace (Album Version),Dropkick Murphys
Star Signs,Leona Naess
Rock Around The Christmas Tree,Daniel Johnston
Love Round The Corner,The Motors
Rubber Track,DJ Deeon
After Hours,Phantom Planet
Mercedes Benz,Mario Rosenstock
Tell Me Why,Smokin' Joe Kubek & Bnois King
Night Time,Suicide
Real People (Cybernetic Dub),Apache Indian
Psihi Mou Moni,Pegy Zina
So Much Love,Shangri Las
The Everlasting Gaze (A Static Lullaby),A Static Lullaby
Outta Control,50 Cent / Mobb Deep
We Don't Need It (Amended Album Version),Junior M. A. F. I. A.
Its Too Late Now,Prozak
Die Gesellschaft,Johann Köhnich
La Vida,Los Fabulosos Cadillacs
Do It_ Fluid,Blackbyrds
Criteria,Shaggy
This Is How We Live: Northern Cali,Big Rich featuring Devo
Missing You,Anthony Watson
Shed So Many Tears,Johnny Winter
En Écoutant Mon Coeur Chanter,Line Renaud
Lixuneanos (Original Mix),Rui Da Silva
Pretty Little Thing,Dale Hawkins
Drunnhvita Elevator,John Tchicai
Chile con carne,Gabriel Yared
Oración (Directo),Héroes del Silencio
Conc Orchestre Sz.116/Allegretto (2eme Mvt),Herbert Von Karajan
Ho Shit (Chopped&Screwed),5th Ward Boyz
Mountain Theme,Bruce Rowland
You Found Me,MxPx
El último romántico: romanza de tenor,Alfredo Kraus - Orquesta de Conciertos de Madrid - Pablo Sorozábal
Be My Hustla (Explicit) (Feat. J. Holiday),MIMS Featuring J. Holiday
Midnight Train,Darden Smith
It's Like That,RUN-DMC vs. Jason Nevins
Ain't No Tellin',Sonny Terry & Brownie McGhee
P.S. I Love You (LP Version),James Darren
Bop Till You Drop,Michael Stanley Band
Céu do Brasil,Nouvelle
School Spirit Skit 2,Kanye West
Vos Sabes,Los Fabulosos Cadillacs
Hold On I'm A Comin' (Album Version),Bill Cosby
Strangers In The Night,Glen Washington
Lament for Frankie,Solas
Good News,Kingston Trio
Squanderer,Shriekback
I Love Rock n´ Roll,Jessica Myrberg
Dos imposibles,Diego Vasallo
Turning Of A Key,Michael Gettel
Narechenny Izgoem,Kruger
I Don't Care If You Lie (C Layne),Magnatune Compilation
Boots The Monkey!,Dora The Explorer
Too Shy To Scream,AFI
Sugar Buzz,Russell Malone
Mi Mas Agapas,Angela Dimitriou
Dame Un Besito (Version Salsa),Andy & Lucas
Fiel Enamorado,Estrellas Cubanas
She Is,The Fray
Dry Bone Shuffle,Blind Blake
Ouverture,Stern
Gir Dig Mer,Nik & Jay
Warfare,Joell Ortiz
The King,Grandmaster Flash
Games People Play,The Jordanaires
These Days,Ayo
You're All I Need,Singing Melody
Slip Kid,The Who
Keysage,Vicious Mary
Champagne Bubble Bath,H-Town
Lead Me To The Cross (Acoustic),Seventh Day Slumber
Toca Me (Album Version),Flexy
Everybody Loves Me But You,Brenda Lee
24.000 Baci,Christos Dantis
A True,Sugar Minott
Psychopath,Lizzy Borden
Rollin' Down To Jordan,Birmingham Jubilee Singers
Visions (20/20),FU-Schnickens
Sarapatel Humano,Marcio Faraco
Abagui Alobi,Patience Dabany
Last Night,Northern State
Problem Solver,Valient Thorr
Circumstances,Johnny Copeland
Who's 2 Blame,Mix Mob
Mother-In-Law Blues,Little Jr. Parker
Listen Up,Army of the Pharoahs
Peace,Billy Higgins
Move Mountains (BBC In Concert),Jesus Jones
Have Fun Prelude,Speech
Dreams - Original,Dan Moretti
Just Let Me Be In Love,Tracy Byrd
Pretend,Shelby Lynne
Calm,Circular
Now I Know,Bullethole
Ares Populares/Asa Branca,Moraes Moreira
I'll Never Get Over You,The Dee Jays
Poker Face,Lady GaGa
Wrong Decision (Instrumental),Vrse Murphy
Blue Lights Flashing,Solitaire
Golfshirt Pt. 2,Nerf Herder
Nordmark,YGGDRASIL
Rain Down On Me,Kane
Caro! (Colline/Rodolfo/Schaunard/Children/Townspeople/Musetta) (1998 Digital Remaster),Alfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys' Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine
Little Latin Lupe Lu,Righteous Brothers
Youth Club Dance (Demo),The Cortinas
Party,Rodney O & Joe Cooley
You'll Know Where Your Plane Is... (Part 4),Why?
Stinky Breath,Blingtones
Baila Girl_ Todo Hombre Llorando Por Ti,Daddy Yankee
Pi Jiu Pao Pao (Beer Bubbles),Steve Chou
El Greco: Movement III,Vangelis
Deportees,The Gaskets
Cleo's Mood,James Taylor Quartet
Why Should I Cry For You,Mariano Yanani
Test 72,Mush
You Beat The Hell Outta Me,The Motors
Oye,Gertrudis
It's Different - Original,Leroy Hutson
Kickstart My Heart (Album Version),Between The Buried And Me
Irish Medley - Jigs,Jean Carnigan
Bang! Bang!,The Knux
Firehouse Rock,Wailing Souls
Ghosts_ Second Variation,Albert Ayler
She Will Love You (Album Version),Aiden
Revitalise,Dub Pistols feat. TK
Olivia,Shinehead
Why Wouldn't I (featuring Fabolous & Paul Cain),DJ Envy
Hit my heart,JK
One King (Album Version),David Phelps
Time Travel,Klaus Badelt
What Is This,Perfection
Un nuevo amor (version salsa),Tranzas
Menutha,Tony Joe White
Expeditions,From Dying Skies
Dengoso,Turibio Santos
Silent Partner (Peace Out),Steinski
The Christmas Song (Chestnuts Roasting On An Open Fire),Fred Simon
The Poet And The Pendulum,Nightwish
Like A Hurricane,Eddy Raven
Ai Ji Mei Gui 1000 Da,Sandy Lam
My God  (Audio Adrenaline Album Version),Audio Adrenaline
Mathilda,Jay Randall
The Possibilities of Loving You,Francis Dunnery
Green And Blue,Deep Forest
Antes (Salsa Version),Obie Bermudez
Lazy Day,Herb Alpert And The Tijuana Brass
Nudez,Ghorwane
Hey Joe,Carl Smith
Shrivasta,William Coulter
In Pursuit of the Implicate Order of Cultural Chaos,Mira
Pathfinders,Elvenking
Punk Rocker '97,Special Duties
The Deep Blue Sea,The Irish Rovers
Got To Make Me Love You,Tyrone Taylor
Hey Louise,Neil Diamond
Old Gobbler the Hound Dog,Johnny Horton
Strassenkrieg,MC Sadri
Dedicated,Paul Carrack
City Of Screaming Statues,At The Gates
Three Little Words,The Refreshments
Monkey Junction,Weedeater
I Love Me (I'm Wild About Myself) (2005 Digital Remaster),Mel Blanc
Carol Of The Bells (Instramental Featuring The Budapest Pops Orchestra),Greater Vision
Shadows,Styles P & The Evil Genius DJ Green Lantern
Everything I Do from Robin Hood,John Williams
Train Buffer,Aesop Rock
Skit,Rakim
Poema do semba,Paulo Flores
Going Under,Devo
Never Know What You Can Do (Give It A Try) - Original,Leroy Hutson
Corcovado,Vince Guaraldi
Bumbo Red,Capleton
War Of The Worlds,The London Theatre Orchestra
Red Socks Pugie,Foals
I Want You (Album Version),Faith Hill
Sarah Palin {I Wanna Lay Pipe} [Remix],John Brown
No Te Apartes De Mi,Yahir
Going Back To Memphis,Memphis Jug Band
Ain't No Sunshine,Michael Jackson
Down the Line,Gregory Isaacs
African Typic Collection,Sam Fan Thomas
La maison ou j'ai grandi,Bonita & Jerry Cormier
Tired Of You Clowning,Sunnyland Slim
Anywhere Anytime,Sara Melson
Hallelujah [Club Mix - Remastered version],Happy Mondays
A Crow Left Of The Murder,Incubus
Ice Cream Cone,Laurie Berkner
Ek Pardesi Di ,Naseebo Lal
Dark Flashes,Brian Keane
Moisture,Dishwalla
Cry Of The Earth,Cybertribe
Stack and Pile,Beenie Man
Please Baby Blues,Little Junior Parker
Goody Two Shoes,Adam Ant
Shitzzo,Marco Polo
I Still Haven't Found What I'm Looking For,Mariano Yanani
Wonderland,Robin Fox
I Versus I,Seventh Star
Ellen Disingenuous,Busdriver
Plecaciunea mortii,Negura Bunget
Ballin' the Jack,Brenda Lee
Don't Keep Me Wondering,Buddy Miles
'Round the Wheel,DJ Harry
Me Decidi,Gisselle
I´m Throwing Rice,Eddy Arnold
Ace Insurance Man,Bobbie Gentry
Oedipus Rex_ Atto Primo: Liberi_ Vos Liberabo (Oedipus) (Stravinsky),Herbert  von Karajan
baby Wayo,African Rhythm Messengers
Sans ton amour,Bonita & Jerry Cormier
Everybody's boppin',Ben Sidran
Tango de la Flor (Album Version),Lole y Manuel
The Ram And The Scorpio,Alphonse Mouzon
I Am The Curse (Duties Demo),Special Duties
San Agustin,Los Amigos Invisibles
We Are One Light,Aeoliah
This World Is Not My Home,James Blackwood with The Light Crust Doughboys
Popovic,Mando Diao
Pound a Weed,Mikey Dread
"Boom-Shack-A-Lack (12"" Mmix / Bonus Tra)",Junior Reid
I've Got You Under My Skin,Louis Prima And Keely Smith
Tropical Nights,Clarence Profit
Puritania,Dimmu Borgir
My Heart's Desire,Kane
Ragoo,Kings Of Leon
Quand on est amoureux,Les Hou-Lops
I Like Young Girls,Love Jones
Drop The Hammer,The Gone Jackals
Another World (Album Version),Richard Hell & The Voidoids
Tears Falling Down,Charlie Peacock
Superconstellation,:Blacks On :Blondes
Hard Times,Eastmountainsouth
Flipside,Bomb Squad
Softcore,V'ro
Nastaran,Mohammad Nouri
Any Way You Want Me To,Jamie Richards
La Traviata - highlights (1990 Digital Remaster): Ah_ non più (Alfredo/Violetta),Maria Callas/Giuseppe di Stefano/Ettore Bastianini/Silvana Zanolli/Luisa Mandelli/Giuseppe Zampieri/Arturo La Porta/Antonio Zerbini/Silvio Maionica/Coro e Orchestra del Teatro alla Scala_ Milano/Carlo Maria Giulini
Gözlerinde Hüzün,Tayfun
Chega De Sausade,Elizete Cardoso
Its Cool,Walter Jackson
Tumba Randy,Anthony Blea Y Su Charanga
Firepower (The Tables Have to Turn) (Explicit) (Feat. Capleton),Dilated Peoples Featuring Capleton
Cendrier,Java
Purple Pygmies,Walter Ego
Voyagers - Improvisation 12,R. Carlos Nakai
Stop The World And Let Me Off,Patsy Cline
This Is A Gang,CMW - Compton's Most Wanted
Playing In The Dirt,Joanna Connor
Thank You,Saga
Sueño Salvaje,Los Indios Tabajaras
Your Chance To Rock,Rodney O & Joe Cooley
I'm Real,Jennifer Lopez featuring Ja Rule
Perfect Moment,Darden Smith
Hum Drum,Terror Squad / Remy / Prospect / Armageddon
Wild Talk [Live],D.A.D.
Assface,G.G. Allin
You Are!,Christian Quast
Nom' Mayi,Dédé Saint Prix_ Pakatak
Seasick,The Bureau De Change
Reborn (Explicit),Drowning Pool
A Word From Deacon Jones [A Local Cable Access Ministry] (LP Version),Mark Lowry
Tu Robaste Mi Corazon,Selena
Rainbow Jungle (Dub / Instrumental Reggae Music),Mikey Dread
Declaration of Independence,Marquez the Greatest
Sweet Love,Mary Black
Salva Mea,Faithless
Wind Beneath My Wings,RyanDan
Black Market Hell,Aiden
The Air Force song : Evening colors sequence,The Sun Harbor's Chorus-Documentary Recordings
El Gran Señor,Los Auténticos Decadentes
The Way I Am,Eminem
Vad två öron klarar,Kent
22 (Acoustic),Lily Allen
Nino ven pa'ca,Juan Carmona
Revolver [Tracy Young's Shoot To Kill Remix],Madonna
En Algún Rincón,Café Quijano
Hey Joe,Roy Buchanan
Parola di faliero,Inoki
I Applaud You  (LP Version),Liquid Gang
Dans cette nuit j'ai envie de me perdre,Didier François
Can't Find My Sadie,Checkers
Las Hermanas Granaditas,Los Nakos
Climax,Loop Guru
Mikä mun päässä nykii,Murskahumppa
Menuet in the Name of Haydn,Alan Feinberg
Matilda Mother (Stereo) (2007 Remaster),Pink Floyd
Lies,Pennywise
The Imperial March from The Empire Strikes Back,John Williams
Mr Big Man,Junior Reid
Boomerang (Reprise),Cirrus
In My Bed,Amy Winehouse
Down On My Knees,Ayo
The Wedding Samba,Edmundo Ros
Morning Glow,Michael Jackson
Slavinka,Edgar De L'est
Supreme Girl,The Sterns
Hispaniola A,Pheeroan Aklaff
Te Fuiste En Abril,Palito Ortega
Yellow Brick Road,Jack Off Jill
Albo,Hevia
Dream State,Paul Taylor
It Ain't A Problem,Rick Ross / Carol City Cartel
Concerto in C major_ BWV 594 (after Vivaldi Op.7 No.5) (2007 Digital Remaster): I. 1st Movement,Lionel Rogg
Nüt isch für immer,Mayday
Fungus,Swim
They Ride By Night,Charles Williams
Abscondence,Sun Yan-Zi
Sirius Calling,Art Ensemble Of Chicago
Make The World Go Away,Ray Price
Dialogue et final si j'avais su,Maurice Chevalier / Françoise Dorin / Marina Hottine / Suzanne Gabriello / Jo Charrier / Marcel Carpentier / Perrette Souplex / Andree Grandjean / Cadet Rivers / Raymond Girerd / Orchestre De Jacques-Henri Rys / Jacques Henri Rys
Check It (Explicit),Lords Of The Underground
She's On That Revivalism,John Brown
Million Miles,Blue Rodeo
Telecommunication,Statues
He'll Deliver Me,Janet Paschal
Olive Oil,Happy Mondays
Llamado De Emergencia,Daddy Yankee
"Agrippina : Act 3 ""Bel piacere è godere fido amor!"" [Poppea]",Marilyn Horne
Assis par terre,Pascal Sangla
St. Patrick's Day,John Mayer
Aff E'chad (Nobody) (Live),Hadag Nahash
Borin Fuckin Town,Rusted Shut
I Don't Want To Let You Go,Weezer
At The Movies (1991 Digital Remaster),Bad Brains
Don't Go Breaking My Heart (LP Version),Sergio Mendes
Into The Mouth Of Hell We March [Explicit],Trivium
Soldiers At War feat. Kon Juan_ Big Scoob_ Short Nutty_ L.V.,Tech N9ne
Papi Chulo (Extended Mix),Lorna
He That Dwelleth (Psalm 91) (In My Dreams Album Version),Daryl Coley
Nu Ren Ben Se,Sammi Cheng
Big John's A-Blowin',Big John Greer
In John Fahey There Is No East or West (feat. John Doan),John Doan
Harder To Breathe,Maroon 5
Clavelitos,Charanga de la 4
Disco Jonki,Dusminguet
You Better Look Out,Johnny Otis Show
In Progress (Original Mix),Trentemoller
Unholy Outburst #3,Ramesses
From Tense To Loose To Slack,The Keys
