song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Akh Larh Gayee,Malkit Singh,0.757,0.613,6,-13.859,1,0.0451,0.607,0.00424,0.0555,0.971,101.054,370867,4
Leaving Melbourne,TEN MADISON,,,,,,,,,,,,,
Galope A Beira Mar,Quinteto Violado,,,,,,,,,,,,,
This Is My Life,Phil Vassar,0.427,0.842,2,-3.918,1,0.0663,0.151,0,0.193,0.664,188.125,217267,4
Where Ya Heart At,Mobb Deep,0.823,0.62,6,-7.093,0,0.23,0.253,0,0.0507,0.479,93.922,267733,4
Aphrodite (1999 Digital Remaster),The Edgar Broughton Band,,,,,,,,,,,,,
Moving Mountains,Usher,0.72,0.734,6,-4.515,1,0.0316,0.0856,0,0.303,0.37,115.999,298053,4
Te Parto el Alma (inter. El Tariacuri),Varios,,,,,,,,,,,,,
When You Were Young,The Killers,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,220427,4
M. tagu va au marché,Klimperei,,,,,,,,,,,,,
Satin Doll,The Wes Montgomery Trio,,,,,,,,,,,,,
Suckin' On Suzie,The Hollywood Brats,,,,,,,,,,,,,
Trouble (Studio),Buckwheat Zydeco,,,,,,,,,,,,,
What You Want,LL Cool J / Freeway,,,,,,,,,,,,,
Wailin',OutKast,,,,,,,,,,,,,
Precís,Casual,0.583,0.78,8,-5.376,1,0.121,0.131,8.98e-05,0.0631,0.764,155.943,213613,4
Terve menoo jätkänretale,Irwin Goodman,0.803,0.868,9,-5.532,1,0.155,0.108,0,0.0189,0.848,107.832,200906,4
Ask You for a Dance,Freddie McGregor,0.667,0.59,0,-6.399,1,0.142,0.049,0,0.22,0.696,85.515,247760,4
On The Money,Joe McBride,0.726,0.781,8,-6.551,1,0.037,0.318,0.134,0.407,0.621,94.011,258507,4
25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Variation XVII,Solomon,,,,,,,,,,,,,
Juke Joint,Farlow-Kirch Band,0.616,0.668,0,-9.629,1,0.106,0.595,0.00106,0.0616,0.737,93.781,220133,4
I Love You More Than You'll Ever Know,Mick Hucknall,0.561,0.36,8,-8.61,0,0.0293,0.595,0.00118,0.109,0.242,107.739,406947,3
You Are Holy,4Him,0.567,0.551,0,-9.662,1,0.0272,0.346,0,0.102,0.247,139.94,296987,4
In The Hills,Jim Chappell,,,,,,,,,,,,,
Map Your Psyche,Busdriver featuring Abstract Rude & Ellay Khule,,,,,,,,,,,,,
Watch Out for The Birdsongs,Goldfish,,,,,,,,,,,,,
I'm Gonna Let My Love Flow,Commissioned,,,,,,,,,,,,,
Friday Night,Sex Machine ft. Shèna,,,,,,,,,,,,,
We're Here To Stay,M.I.K.E.,,,,,,,,,,,,,
Red Hot Pepper Pot,Gloria De Haven,,,,,,,,,,,,,
Tschung Mori,Megadrums,0.774,0.0666,1,-18.939,1,0.137,0.956,0.463,0.097,0.217,118.209,104653,3
Rhymin' Spielin',fIREHOSE,0.594,0.535,2,-16.555,1,0.0771,0.453,0.00172,0.337,0.929,106.888,122600,4
Una noche serena y obscura,Antonio Bribiesca,0.528,0.237,0,-11.698,1,0.0335,0.881,0.771,0.271,0.296,106.798,152738,4
Here Comes The Big Parade,Harry Connick_ Jr.,,,,,,,,,,,,,
Intro,Styles P,0.658,0.744,11,-7.523,1,0.375,0.0646,0,0.132,0.229,159.971,131593,4
I Cannot Believe It's True,Phil Collins,,,,,,,,,,,,,
Missing (Olivier Berger Mix),Nicola Fasano Feat. Paula B,,,,,,,,,,,,,
Chains Of Love,Joe Turner,,,,,,,,,,,,,
Shifty Disco Girl,Helen Love,0.333,0.715,8,-9.02,1,0.0306,1.18e-06,0.00351,0.065,0.653,95.627,184347,4
Where To Piss And Shit In Oslo,Black Debbath,,,,,,,,,,,,,
Show Me,Justin,,,,,,,,,,,,,
Minuet in g minor,The American Boychoir,,,,,,,,,,,,,
Borrare Tu Nombre,Mazz,0.658,0.658,2,-7.256,1,0.0336,0.559,6.76e-06,0.0428,0.787,107.414,209080,4
Come Next Monday,K.T. Oslin,0.754,0.524,9,-11.011,1,0.04,0.254,4.55e-05,0.0474,0.862,81.94,230227,4
When My Ship Comes In,Eddie Cantor,0.633,0.147,3,-15.592,1,0.146,0.981,0,0.317,0.412,108.175,184813,4
Headlock,Esser,0.817,0.834,10,-6.389,0,0.098,0.00668,5.43e-06,0.162,0.743,122.03,189387,4
Kids Of Tragedy,Suzi Quatro,,,,,,,,,,,,,
Kinky Afro [Remastered Version],Happy Mondays,,,,,,,,,,,,,
Comme hier,Georges Brassens,0.661,0.157,9,-12.294,1,0.248,0.775,0,0.383,0.792,137.778,101107,4
Too Bad,Royal Bubble Orchestra,0.506,0.644,2,-5.855,1,0.0261,0.0342,0,0.111,0.471,94.096,184773,4
Cheer Up! Smile! Nertz!,Eddie Cantor,0.697,0.524,0,-7.148,1,0.08,0.98,0,0.347,0.8,75.016,118533,3
Tenhert,Tinariwen,0.558,0.63,8,-6.737,1,0.0442,0.143,0.0544,0.0864,0.867,140.188,328853,4
New Shoes,Dottie Rambo_ The Whites,,,,,,,,,,,,,
Dream On (LP Version),Blackfoot,,,,,,,,,,,,,
Sweet Harmony (LP Version),Maria Muldaur,,,,,,,,,,,,,
Lil' Boy Fresh,Juelz Santana,0.465,0.92,11,-3.666,0,0.439,0.34,0,0.401,0.681,82.037,233867,4
Ovanlär,Bröderna Djup,0.478,0.645,5,-9.83,1,0.0955,0.275,0,0.164,0.837,199.397,114093,4
Samba de Paris,Kyle Eastwood,0.482,0.549,5,-12.165,1,0.0315,0.609,0.768,0.0679,0.571,110.544,442080,4
The River,Curtis,0.61,0.757,7,-7.049,1,0.0276,0.0123,4.37e-05,0.119,0.398,103.362,256573,4
Stand Down,Stickboy,0.122,0.994,9,-6.229,1,0.0655,7.49e-06,0.684,0.307,0.0726,180.47,67533,4
All Of You,Gerald Clayton,0.384,0.287,0,-17.13,1,0.0492,0.0829,0.763,0.119,0.187,77.052,329413,4
Don't Look Back,Grandpa Jones,,,,,,,,,,,,,
Juke Appeal,DJ Rashad,0.813,0.88,11,-8.602,0,0.217,0.000135,0.955,0.0576,0.752,160.008,306947,4
Kinghead Shuffle (Little Freddie King),Little Freddie King,,,,,,,,,,,,,
Mother's Little Helper,Wild Horses,0.639,0.807,4,-8.025,0,0.0281,0.0686,0.839,0.219,0.971,103.02,174196,4
Sun Shower (Single Version),Busdriver,,,,,,,,,,,,,
God Smack,Alice In Chains,0.496,0.969,10,-3.785,0,0.117,0.0637,7.73e-06,0.102,0.198,124.046,230800,4
Portland_ Oregon,The Cat's Miaow,,,,,,,,,,,,,
A Rush Of Blood To The Head (Live In Sydney),Coldplay,,,,,,,,,,,,,
Blue Moon,T-Bone,,,,,,,,,,,,,
I singe dir es Lied,Kisha,0.599,0.233,11,-11.552,1,0.0405,0.866,0,0.14,0.273,139.846,204107,4
Fantasia 6: Mudarra,Terry Muska,,,,,,,,,,,,,
Saturday Night Special,Mars Ill,,,,,,,,,,,,,
Speak Low,Mike Vax,0.479,0.471,7,-16.306,0,0.0519,0.903,0.12,0.982,0.545,87.22,229613,4
Room 13,Black Flag,0.362,0.961,11,-14.711,0,0.108,0.331,0.00187,0.623,0.137,101.931,124733,4
Synthesizer,OutKast featuring George Clinton,,,,,,,,,,,,,
We Got Da Dope,Three-6 Mafia,,,,,,,,,,,,,
Feelin` Alone,2-Gether feat. Sarinah,,,,,,,,,,,,,
Adventure No. 8,Jim Chappell,0.211,0.307,9,-16.022,1,0.0441,0.954,0.647,0.0984,0.183,51.108,208867,4
Silent Movies (Album Version),Grant Geissman,,,,,,,,,,,,,
Shawty Get Loose,DJ Nasty,0.9,0.879,6,-3.438,1,0.0893,0.00577,0,0.043,0.963,130.018,193846,4
Church_ I'm Fully Saved Today,Blind Willie Johnson,,,,,,,,,,,,,
Pauvre Jean,Jacques Douai,,,,,,,,,,,,,
Fruko's  Boogaloo,Fruko Y Sus Tesos,,,,,,,,,,,,,
"""""""Return Of The """"""""G""""""",OutKast,,,,,,,,,,,,,
Laundry & Dishes,Adrienne Pierce,0.497,0.358,9,-7.672,1,0.0252,0.372,1.16e-05,0.105,0.141,152.037,270080,3
Estoy Contigo,Selena,0.538,0.643,2,-4.762,1,0.0269,0.531,0,0.182,0.827,104.69,197787,4
The Things That I Used To Do,Guitar Slim,0.48,0.303,5,-13.675,1,0.0384,0.812,0,0.0889,0.643,98.282,180453,3
Face,Dave Rave_ Mark McCarron,,,,,,,,,,,,,
Vaya (Live At The Beacon Theatre),Ray Barretto,,,,,,,,,,,,,
Life Of A Star,MIMS,,,,,,,,,,,,,
Los Conguitos,Mongo Santamaria,0.559,0.185,3,-24.335,0,0.138,0.893,0.905,0.0847,0.294,118.573,130000,4
Samba De Duas Notas,Luiz Bonfa,,,,,,,,,,,,,
Lontananza,Fruko Y Sus Tesos,0.776,0.704,7,-5.146,0,0.035,0.184,0.0192,0.288,0.796,106.515,186853,4
Halt mich,Herbstrock,,,,,,,,,,,,,
Is It A Myth?,K'Naan,,,,,,,,,,,,,
Long Day (Album Version),Soul Asylum,,,,,,,,,,,,,
Lost,The Cure,0.513,0.828,7,-5.74,1,0.041,0.26,0.0176,0.342,0.414,85.016,247507,4
Melangtäras intåg i Kallsta,Sven Scholander,0.638,0.31,0,-16.709,1,0.213,0.991,0.000303,0.262,0.718,113.401,191693,4
Still Caah Nicer Dan Yard,Shaggy,,,,,,,,,,,,,
Quando io leggio... Son gli ebbri... O mio castel... Nell'argilla...,Ramón Vargas,,,,,,,,,,,,,
Rhapsody In Blue,Arthur Fiedler;Earl Wild;Pasquale Cardillo,,,,,,,,,,,,,
Everybody Loves You,Helmet,0.517,0.965,7,-3.183,0,0.0546,1.01e-05,0.000989,0.0883,0.173,112.902,206880,4
Castle Of My Dreams,Tex Williams,0.491,0.348,8,-11.643,1,0.0361,0.903,0.000867,0.19,0.732,161.327,150480,3
The Long Goodbye,Miranda Lee Richards,0.507,0.64,0,-8.317,1,0.0316,0.327,0.000128,0.103,0.257,116.143,243667,4
Que Devient Ton Poing Quand Tu Tends Les Doigts,Miossec,,,,,,,,,,,,,
Price Of The Fire,John Stewart,0.388,0.319,2,-14.213,0,0.0281,0.64,0.0239,0.113,0.458,182.632,292040,4
I Only Want To Love You,Nicky B,0.478,0.411,10,-12.04,1,0.0946,0.0274,0,0.33,0.884,133.225,184347,5
Stop It,The Frequency,0.807,0.776,4,-10.172,0,0.0613,0.00201,0.85,0.0783,0.615,118.012,195213,4
Life Is Wild,The Clash,,,,,,,,,,,,,
Es klappert die Mühle,Frederik,,,,,,,,,,,,,
O Mein Papa,Eddie Calvert,0.317,0.508,10,-5.388,1,0.0305,0.911,0.935,0.205,0.196,110.024,165431,4
Ain't Goin' To Beg You For That Stuff,The Hokum Boys,,,,,,,,,,,,,
Ruff Ryder's Anthem (Guide Vocal),Karaoke (Made famous by DMX),,,,,,,,,,,,,
Pretty Girl (Amended Version),No Address,,,,,,,,,,,,,
Aqui Estoy,Mr. Grillo,0.859,0.685,4,-7.42,0,0.0968,0.442,6.53e-06,0.124,0.779,95.988,211250,4
Pork Chop Sandwich,Hinge,0.396,0.615,1,-5.347,1,0.0503,0.000241,1.72e-06,0.121,0.138,114.0,247525,5
Estacao Primeira Da Mangueira_ Viva Do Samba,Samba Enredo,,,,,,,,,,,,,
Mefistofele/La luna immobile,Michèle Crider;Eleonora Jankovic;Vincenzo La Scola;Riccardo Muti,,,,,,,,,,,,,
One of Us,Bottom Of The Hudson,,,,,,,,,,,,,
Break The Ice,Britney Spears,,,,,,,,,,,,,
Half Way Up The Stairs,Delroy Wilson,,,,,,,,,,,,,
It's Bad For Me (Album Version),The Roches,,,,,,,,,,,,,
Untitled,Rhian Sheehan,,,,,,,,,,,,,
I'm On The Run,JennyAnyKind,,,,,,,,,,,,,
Sorry Feat. Rafaqat Ali Khan,Rishi Rich,,,,,,,,,,,,,
I Am,Devanic,0.352,0.919,4,-6.712,1,0.2,0.00114,5.27e-05,0.0763,0.179,97.49,336067,4
If I Can't Have You,Jackie Wilson,0.574,0.56,3,-8.466,1,0.0502,0.728,0,0.246,0.896,160.928,107467,4
Medley: Father_ I Adore You/More Precious Than Silver,Cadet,,,,,,,,,,,,,
Si Tu Me Dices Ven,Isabel Pantoja,0.595,0.471,0,-4.629,0,0.0349,0.6,0,0.225,0.148,82.046,220947,4
Xi Yang Wu Xian Hao,Eason Chan,,,,,,,,,,,,,
We Wanna Change Our Band Name,Sex Machine,,,,,,,,,,,,,
Soliloquy (2001 Digital Remaster),Gordon MacRae,,,,,,,,,,,,,
Widescreen,Pinch,0.396,0.564,2,-11.41,1,0.0477,0.0198,0.738,0.0685,0.27,139.902,288398,4
The Devil Made Me Do Dat (LP Version),Young-Holt Unlimited,,,,,,,,,,,,,
Dyna,Kanda Bongo Man,0.698,0.687,11,-12.242,1,0.0336,0.484,0.00295,0.119,0.926,131.339,500853,4
La Bamba,The Tokens,0.562,0.715,0,-10.602,1,0.118,0.631,0.0321,0.637,0.962,169.818,153933,4
Largo,Angel Romero / The Academy of St. Martin in the Fields / Iona Brown,,,,,,,,,,,,,
Tarha Tinghi,Philippe Eidel,,,,,,,,,,,,,
Pichleh Janam Dee,XLNC,0.602,0.473,1,-12.794,0,0.0511,0.0587,2.37e-05,0.311,0.327,160.1,386520,4
Watermelon Man,Johnny Kidd And The Pirates,,,,,,,,,,,,,
Controlando El Area,Daddy Yankee / Bounty Killer,,,,,,,,,,,,,
Turn This Thing Around,El Presidente,,,,,,,,,,,,,
Boll Weevil,Blind Willie McTell,0.651,0.357,5,-10.19,1,0.0633,0.995,0.0137,0.178,0.87,72.362,118147,4
Gwithian,Luke Vibert,0.745,0.371,0,-14.18,0,0.032,0.332,0.687,0.11,0.454,101.92,418787,4
EZ Cuz You're Beautiful (Album Version),Shifty,,,,,,,,,,,,,
Sitting In A Dim Café,Conway Twitty,,,,,,,,,,,,,
Techno Cumbia,Selena,0.661,0.619,6,-11.348,1,0.0757,0.543,0,0.0883,0.952,181.967,227440,4
Manila,Martin Denny,0.654,0.349,0,-16.28,0,0.0655,0.642,0.185,0.0814,0.734,126.059,146987,4
Decide,Chelsea,0.321,0.758,9,-10.129,0,0.0514,0.00158,1.12e-05,0.0784,0.605,169.257,181867,4
Temblando,Alex Ubago,0.384,0.37,9,-7.61,1,0.0324,0.838,0,0.112,0.299,99.166,201093,4
I Want You Back,The Plimsouls,0.488,0.907,4,-7.624,1,0.0363,0.0371,8.59e-06,0.376,0.843,123.669,147960,4
Heartburn,Alicia Keys,0.717,0.63,4,-9.109,1,0.365,0.219,0.00396,0.0378,0.84,119.85,208027,4
Put Your Hand In The Hand,Rance Allen Group,,,,,,,,,,,,,
Woodcarver,Glen Campbell,0.598,0.445,1,-7.781,1,0.0281,0.648,0,0.107,0.473,76.009,203573,3
LDN (Warbox Original Cut Dub),Lily Allen,,,,,,,,,,,,,
Artie In The Sky,Artie Fishel & The Promised Band,,,,,,,,,,,,,
Through Bucky's Eyes,Michael Gettel,0.358,0.15,3,-22.422,1,0.04,0.942,0.85,0.0988,0.0395,104.757,232733,4
Sleepwalkers,Non Phixion,,,,,,,,,,,,,
Welcome,Les Bonapartes,0.489,0.93,1,-6.794,0,0.0405,0.097,8.53e-05,0.0789,0.897,90.978,190733,4
One Shine,The Roots,0.629,0.461,10,-10.69,0,0.0461,0.0812,0.341,0.0529,0.648,97.906,340400,4
The Big Rock (LP Version),Maire Brennan,,,,,,,,,,,,,
Don't Stop,Flame,,,,,,,,,,,,,
What's Your Damage?,Test Icicles,0.3,0.962,2,-3.066,1,0.164,2.94e-05,7.9e-06,0.264,0.26,174.906,249480,4
Stay With Me,Michal,0.486,0.519,2,-6.068,1,0.0275,0.32,0,0.222,0.207,150.058,217387,4
RECKLESS,This Is Hell,,,,,,,,,,,,,
Tender Lies,Beres Hammond,0.78,0.386,10,-16.757,1,0.127,0.318,0.012,0.059,0.938,169.99,193067,4
Brillantin' Brutal',Falco,,,,,,,,,,,,,
Living Dead,The Plasmatics,,,,,,,,,,,,,
Gib mir den Tod (Live),Der Moderne Man,,,,,,,,,,,,,
Chao Wo,Miriam Yeung,,,,,,,,,,,,,
Sigui,Djelimady Tounkara,0.587,0.386,0,-10.627,1,0.0365,0.66,0.0227,0.0937,0.499,124.545,304400,4
Whispering Grass - Original,Dee Clark,,,,,,,,,,,,,
It Must Be Love (Live Acoustic Version),Rickie Lee Jones,,,,,,,,,,,,,
Autobahn (Live),Kraftwerk,,,,,,,,,,,,,
Frustration,Rocket From The Tombs,,,,,,,,,,,,,
Slash,Long John Hunter,0.628,0.583,7,-9.645,1,0.0448,0.729,0.224,0.086,0.741,124.198,117827,4
What It Do,J.R. Writer_ Jha Jha,,,,,,,,,,,,,
Midnight Rider,Buddy Miles,0.506,0.597,7,-10.26,1,0.036,0.0959,3.9e-05,0.162,0.415,92.766,216267,4
Two Wars,This Or The Apocalypse,0.119,0.985,9,-4.095,0,0.132,4.36e-06,0.405,0.372,0.0395,165.033,293667,3
Out Of The Danger Zone (Degarmo And Key Album Version),DeGarmo & Key,,,,,,,,,,,,,
Miserere: XI. Cor Mundum,Dan Shen_ Gruppo Vocale Cantemus_ Ensemble Airone_ Luigi Marzola,,,,,,,,,,,,,
Lillie Anne,Chalk Farm,0.434,0.685,6,-7.701,0,0.0302,0.000196,0.111,0.11,0.534,95.288,294093,4
Take Me To Paradise (Nicky Scanni's Garage Mix),Will To Will,,,,,,,,,,,,,
Thrill Me (Atfc's Jackhammer Re-Rub),Junior Jack,,,,,,,,,,,,,
Sunday Morning (Sony Connect Set),K-OS,,,,,,,,,,,,,
A Sound That Only You Can Hear,K's Choice,0.331,0.683,2,-6.454,1,0.0416,0.000935,1.01e-06,0.398,0.578,175.004,252971,4
I'm A Believer,Tyrone Taylor,,,,,,,,,,,,,
The Other Boleyn Girl - Opening Titles,Paul Cantelon,,,,,,,,,,,,,
Maiden Voyage (Rudy Van Gelder Edition) (2006 Digital Remaster),Bobby Hutcherson,,,,,,,,,,,,,
Up On That Cloud,Blue Rodeo,,,,,,,,,,,,,
Gaita Gaitero,Rincon Morales,0.835,0.856,11,-10.171,1,0.0636,0.0794,0.00461,0.102,0.925,130.682,197747,4
Freeword,D.O.W.N.,,,,,,,,,,,,,
Man In A Suitcase,The Police,0.752,0.721,0,-8.019,1,0.0403,0.0112,0.0366,0.119,0.94,138.876,138067,4
Baltimore Oriole (2004 Digital Remaster),George Harrison,,,,,,,,,,,,,
Columbia,Oasis,0.329,0.855,7,-4.435,1,0.0493,1.91e-06,0.775,0.356,0.0485,100.104,377000,4
Baby's First Christmas,Connie Francis,0.399,0.187,6,-12.797,1,0.0278,0.781,0,0.284,0.43,97.02,145667,4
Liar of Nastrond,Goatwhore,0.259,0.983,8,-6.469,1,0.177,0.00137,4.59e-06,0.349,0.0444,116.128,153667,1
Desperate Man Blues,Daniel Johnston,0.365,0.273,4,-15.034,1,0.0464,0.993,0.922,0.118,0.583,76.58,219679,3
Interlude (Album Version),My Chemical Romance,,,,,,,,,,,,,
Satanic Majesty,PitchBlack,,,,,,,,,,,,,
Held Der Tastatur,Melanie And The Secret Army,,,,,,,,,,,,,
The Nightmare Begins,ZombieSuckers,0.123,0.122,1,-22.049,1,0.034,0.686,0.904,0.152,0.0384,69.854,62958,3
Open Up Your Mind (Guido Osorio Club Mix),Eyes Cream,,,,,,,,,,,,,
Better Believe It Remix (feat. Bun B_ Trae_ Yo Gotti & Foxx),Lil Boosie feat. Bun B_ Trae_ Yo Gotti & Foxx,,,,,,,,,,,,,
Ready For The Floor (Radio Edit),Hot Chip,,,,,,,,,,,,,
Planetary Takeover,Snowgoons,0.481,0.94,1,-4.359,1,0.37,0.0291,0,0.17,0.294,93.837,239640,4
Bliss,The Dreamtree Project,0.622,0.42,9,-16.459,0,0.0322,0.557,0.589,0.0744,0.225,134.276,798200,4
Spencer-Tracey,Danny Wilson,,,,,,,,,,,,,
Agrymonyzer (Matsingena Mix),Joy Kitikonti,,,,,,,,,,,,,
Que paso,D.A.R.,0.591,0.715,2,-6.028,1,0.0403,0.432,0,0.169,0.689,88.031,250133,4
Just A Glance Away,Sam Baker,0.582,0.24,7,-17.703,1,0.028,0.751,0.109,0.0956,0.421,96.326,172693,3
You Make Me Feel So Good,Simon Harris,,,,,,,,,,,,,
Who Cares,Don Gibson,0.57,0.597,0,-10.247,1,0.0375,0.873,9.17e-05,0.275,0.845,112.377,134000,4
Forever Until Sunday,Bruford,0.35,0.511,1,-11.928,0,0.073,0.897,0.501,0.654,0.279,117.141,410413,4
Lust for life (recorded during the us tour in 1986),Iggy Pop,0.468,0.8,8,-13.611,1,0.0508,0.00903,0.358,0.743,0.574,118.91,294467,4
Humanity,The Berzerker,0.341,0.904,11,-7.359,0,0.0597,0.0757,0.072,0.41,0.193,171.823,105467,4
Rosalita (Come Out Tonight),Bruce Springsteen,0.282,0.938,5,-5.664,1,0.0808,0.0305,0.000161,0.25,0.741,154.385,420840,4
Tenemos Amigos,Dora The Explorer,0.667,0.723,6,-4.998,0,0.135,0.187,6.64e-06,0.556,0.962,189.918,57947,4
Lover,Spade Cooley,0.623,0.0495,2,-27.098,0,0.0309,0.972,0.697,0.298,0.394,86.117,108813,4
Deep Inside,Converge,0.762,0.736,7,-7.46,1,0.0608,0.0392,0.686,0.0294,0.745,124.004,407042,4
Hear Me Now,Wet Wet Wet,0.447,0.6,2,-7.67,1,0.0269,0.0791,0,0.391,0.2,95.388,242680,4
Großraumbrand,ZENFU,,,,,,,,,,,,,
Thorns of Charon (Pt. 2) - Emerge from Hades,Astarte,,,,,,,,,,,,,
Yesterdays,Vince Guaraldi Trio,0.434,0.042,7,-24.739,0,0.0406,0.995,0.946,0.12,0.0599,100.752,241400,4
To Pirame,Imiskoubria,0.636,0.876,2,-5.327,1,0.0929,0.0637,0,0.362,0.819,89.949,208333,4
El Bipper,Los Traileros Del Norte,0.758,0.798,0,-7.67,1,0.0422,0.174,6.6e-06,0.113,0.952,111.702,201067,4
Joe Avery's Piece,Harry Connick_ Jr,,,,,,,,,,,,,
Sonata I.X.1905: I. Preduycha (Janácek),Massimiliano Damerini,,,,,,,,,,,,,
How Insensitive,Charlie Byrd,0.581,0.144,8,-21.097,1,0.0385,0.866,0.541,0.093,0.232,114.557,211160,4
Shadrach (2009 Digital Remaster),Beastie Boys,,,,,,,,,,,,,
A Love That Keeps On Giving (Silent Witness Album Version),Jeff And Sheri Easter,,,,,,,,,,,,,
Halintamyymälän aamutoimet,Juice Leskinen,,,,,,,,,,,,,
I Saw Destruction,The Scare,,,,,,,,,,,,,
Monsoon,Jack Johnson,0.691,0.288,6,-10.584,0,0.102,0.382,0,0.106,0.312,141.902,256813,4
Unconditionally (Soul and R&B),Willie Clayton,,,,,,,,,,,,,
I Love It [Clubstar Remix],Sneaky Sound System,,,,,,,,,,,,,
Are You Home,Singing Melody Feat. Robyn,,,,,,,,,,,,,
World Of The Video Game,Shinehead,,,,,,,,,,,,,
Arrivederci Roma,Sergio Franchi,0.418,0.154,7,-15.705,1,0.0384,0.936,0.000253,0.132,0.247,114.655,203733,4
Mine Yuh Business,Johnny Osbourne,0.778,0.521,7,-11.649,1,0.166,0.158,1.31e-06,0.0565,0.783,171.334,209160,4
No La Dejes Sola,Los Titanes,,,,,,,,,,,,,
Christelle Est Une Ordure,Bénabar,,,,,,,,,,,,,
Punjabian Di Chale Glassi,Bally Sagoo,0.717,0.944,6,-2.844,0,0.0853,0.317,1.85e-06,0.361,0.865,95.999,280187,4
Burlesque burglary,Cool cavemen,,,,,,,,,,,,,
Encore,Roni Size,,,,,,,,,,,,,
Prove Something (explicit album version),Fat Joe,,,,,,,,,,,,,
Mystic River,Blue Rodeo,,,,,,,,,,,,,
My Mind Is Gone,3 Steps Ahead,,,,,,,,,,,,,
Romance,Whitney Cummings,0.392,0.991,2,-2.268,1,0.544,0.908,0,0.928,0.707,83.99,48649,1
Bar Talk,Ed Calle,0.692,0.627,5,-6.154,1,0.026,0.381,0.688,0.117,0.484,115.996,253533,4
Happy Cycling,Boards of Canada,0.91,0.49,5,-12.036,0,0.12,0.00869,0.866,0.118,0.461,99.985,476027,4
Urbania,Statues,0.491,0.407,0,-8.799,1,0.061,0.00287,0.00071,0.0603,0.232,136.589,211013,4
Double Jig: The Rolling Wave,Willie Clancy,0.279,0.364,2,-10.24,1,0.0376,0.952,0.963,0.103,0.621,130.129,105747,3
Cursed Again,MU330,0.696,0.565,0,-7.933,0,0.0506,0.327,0.555,0.116,0.307,126.416,132440,4
We Will Rock You,Nickelback,0.577,0.905,4,-5.018,0,0.114,0.0404,0,0.0685,0.288,80.98,119787,4
Personal Tragedy,Ron Goodwin,,,,,,,,,,,,,
Fair Diana,Johnny Keating & All Stars,,,,,,,,,,,,,
Heiliges Feuer,A Challenge Of Honour,0.538,0.64,9,-11.862,0,0.0384,0.987,0.918,0.0772,0.403,119.927,242240,4
Frontiers (LP Version),Bela Fleck And The Flecktones,,,,,,,,,,,,,
Better Way Of Life,George Nooks,0.786,0.546,7,-6.019,0,0.0462,0.0183,0,0.381,0.798,149.884,223493,4
For Me And My Gal,Ed Ames,0.661,0.406,0,-10.394,1,0.031,0.483,0,0.113,0.618,134.46,154302,4
Freedom,Jah Cure,0.47,0.698,5,-5.87,0,0.0432,0.214,0,0.102,0.66,127.817,287667,4
I'm Amazing,Keb' Mo',,,,,,,,,,,,,
Drummer Boy,The Clark Sisters,0.714,0.788,8,-8.994,1,0.102,0.0373,0.000448,0.364,0.221,108.74,283560,4
Roman Empire,P.o.d,,,,,,,,,,,,,
Un Amor En El Olvido,Marisela,,,,,,,,,,,,,
Old Friends,Simon & Garfunkel,0.202,0.176,1,-16.425,0,0.0343,0.756,0.000303,0.113,0.3,152.633,155373,3
Turn Around (LP Version),Chris Rodriguez,,,,,,,,,,,,,
Another Year,K's Choice,0.319,0.702,9,-8.622,1,0.039,0.0256,1.4e-05,0.305,0.483,163.682,210313,4
Aurora,NAZCA PERU,0.644,0.859,11,-5.574,0,0.0287,0.182,0.000161,0.241,0.969,147.685,159440,3
Noches Arabes,Los Fabulosos Cadillacs,0.788,0.463,0,-15.906,0,0.0495,0.0312,0.791,0.0683,0.796,124.832,190307,4
Memphis In The Meantime,John Hiatt,0.642,0.798,4,-11.138,1,0.0372,0.144,0.000101,0.0815,0.921,90.6,239800,4
Hatesex (Reborn),Hatesex,0.481,0.678,1,-9.985,1,0.0319,2.85e-06,0.652,0.148,0.442,127.005,376080,4
Horrible,Jack Off Jill,0.516,0.828,10,-6.894,0,0.21,0.000975,3.44e-05,0.0658,0.94,178.293,152694,4
Circle Of Hands (For A Time Like This Album Version),Sheila Walsh,,,,,,,,,,,,,
Hary Janos Suite : VI. A csaszari udvar bevonulasa (Entrance of the Emperor and his Court),Neeme Jarvi,,,,,,,,,,,,,
Ridin' High,The Impressions,0.577,0.547,2,-8.425,1,0.0567,0.283,0,0.0588,0.694,116.15,145200,4
Catch Me In The Morning (Album Version),Doug Sahm Tex Mex Trip,,,,,,,,,,,,,
Birdies,Danny Elfman,,,,,,,,,,,,,
No Comprimise_ No Regrets,Hanoi Rocks,,,,,,,,,,,,,
Stand By Me (Freedom Band Album Version),Bill & Gloria Gaither,,,,,,,,,,,,,
Tramonto Etnico,Daniela Dessì,,,,,,,,,,,,,
Peer Gynt - Incidental Music (2004 Digital Remaster): 4.   In the Hall of the Mountain King,Staatskapelle Dresden/Herbert Blomstedt,,,,,,,,,,,,,
Destroy 2000 Years Of Culture,Atari Teenage Riot,,,,,,,,,,,,,
