source,s_attribute,s_id,s_artist,target,t_attribute,t_id,t_artist,value,s_tags,t_tags
Scream,song,TRAAAAK128F9318786,Adelitas Way,Ugly,song,TRHDYGW128F1464CF1,The Exies,0.0570517,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative', '70'], ['alternative rock', '67'], ['indie', '35'], ['ugly', '30'], ['post-grunge', '27'], ['Awesome', '17'], ['The Exies', '17'], ['hard rock', '17'], ['Grunge', '15'], ['punk', '15'], ['classic rock', '7'], ['loveeeeeeeee it', '7'], ['angry', '7'], ['KICK', '5'], ['Sweet Song', '5'], ['I like this', '5'], ['new and awesome', '5'], ['aitch', '5'], ['Workout', '5'], ['memories', '5'], ['male vocalists', '5'], ['Valsnt', '5'], ['gritty', '5'], ['angst', '5'], ['pop', '5'], ['emo', '5'], ['Soundtrack', '5'], ['beautiful', '5'], ['add', '5'], ['mariana', '2'], ['My Radio Station', '2'], ['tap your foot', '2'], ['MOONH8SUN', '2'], ['The Exies ugly', '2'], ['so great its hard to listen to', '2'], ['grab', '2'], ['lu', '2'], ['radyo odtu', '2'], ['sabroso', '2'], ['Hass Lieder', '2'], ['funnet', '2'], ['was written for me', '2'], ['TaggedByInertia', '2'], ['radioultra', '2'], ['My lovest songs', '2'], ['LordLex92s', '2'], ['aitchawake', '2'], ['CooleSongs', '2'], ['aitchepic', '2'], ['thablackphoenix', '2'], ['Discoverockult', '2'], ['crunk metal', '2'], ['bumpyfayce', '2'], ['Through my eyes', '2'], ['sexy', '2'], ['mmm', '2'], ['cool', '2'], ['indie rock', '2'], ['Game Music', '2'], ['american', '2'], ['epic', '2'], ['Favourites', '2'], ['wrestling', '2'], ['sobering', '2'], ['Soundtrack Of My Life', '2'], ['wwe', '2'], ['other', '2'], ['00s', '2'], ['High School', '2'], ['theme songs', '2'], ['ggrunge', '2'], ['ana', '2'], ['Goody', '2'], ['jordan', '2'], ['protesta', '2'], ['Rock Faves', '2'], ['br', '2'], ['fava', '2'], ['warped', '2'], ['Michael', '2'], ['dirty', '2'], ['songs that make me happy', '2'], ['seen live', '0'], ['heard on Pandora', '0'], ['look into', '0'], ['kappe silence', '0'], ['Exiles-Ugly', '0'], ['rated2', '0'], ['Exies', '0'], ['hard-baladas-hard', '0'], ['kappe mela', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Supernatural,song,TRCLYZD128F93239D6,Daughtry,0.0559012,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '50'], ['hard rock', '42'], ['post-grunge', '35'], ['modern rock', '21'], ['daughtry', '14'], ['male vocalists', '14'], ['visione fantasmagorica', '7'], ['double speed', '7'], ['sounds of freedom', '7'], ['corrupt', '7'], ['Driving Songs', '7'], ['great song', '7'], ['Post Grunge', '7'], ['ost', '7'], ['Favorite', '7'], ['pop rock', '7'], ['Awesome', '7'], ['favourite', '7'], ['catchy riffs', '0'], ['alternative', '0'], ['indie', '0'], ['female vocalists', '0'], ['britpop', '0'], ['alternative mello rock', '0']]"
It's Not Over,song,TRBGMZJ128F42BC17E,Daughtry,Adelitas Way,artist,N/A,N/A,1.0,"[['rock', '100'], ['alternative rock', '60'], ['daughtry', '46'], ['alternative', '38'], ['American Idol', '15'], ['male vocalists', '10'], ['00s', '7'], ['Chris Daughtry', '6'], ['pop', '6'], ['hard rock', '6'], ['Love', '5'], ['pop rock', '5'], ['Its Not Over', '4'], ['favorites', '4'], ['top 40', '3'], ['post-grunge', '3'], ['Daughtry - Its not over', '2'], ['rock ballad', '2'], ['american', '2'], ['Awesome', '2'], ['addictive', '2'], ['british rock', '2'], ['Good Stuff', '2'], ['Ballad', '2'], ['classic rock', '2'], ['2007', '2'], ['USA', '1'], ['Hits 2007', '1'], ['rocks', '1'], ['favourite', '1'], ['WEXP', '1'], ['male', '1'], ['good bands', '1'], ['alt rock', '1'], ['loved', '1'], ['fav', '0'], ['catchy', '0'], ['fanmix - jibbs', '0'], ['Post Grunge', '0'], ['idol', '0'], ['best forever and ever to me untill i die', '0'], ['lehugeur', '0'], ['Adult Alternative', '0'], ['lammis', '0'], ['favs', '0'], ['alleys music', '0'], ['male vocals', '0'], ['2006', '0'], ['male vocalist', '0'], ['Rock i like', '0'], ['thumper', '0'], ['5', '0'], ['melancholie', '0'], ['hit single', '0'], ['good', '0'], ['cool', '0'], ['Favorite', '0'], ['angry', '0'], ['favorite songs', '0'], ['sad', '0'], ['i really should not like this so much', '0'], ['strogg', '0'], ['deep thoughts', '0'], ['THUMPER LIGHT', '0'], ['bekannt', '0'], ['kermiksen turha tagi', '0'], ['rock classique', '0'], ['indie', '0'], ['easy smile', '0'], ['Canadian', '0'], ['radioultra', '0'], ['universal soundtrack', '0'], ['triathlon', '0'], ['coleiscool', '0'], ['slow heavy', '0'], ['my loved ones :p', '0'], ['Vitamin M', '0'], ['LordLex92s', '0'], ['greatlyrics', '0'], ['oughts', '0'], ['fighting dogs', '0'], ['Daughtry- Its Not Over', '0'], ['piniwi', '0'], ['reconcile', '0'], ['just want to feel', '0'], ['My Radio Station', '0'], ['slow', '0'], ['Massari', '0'], ['todays hits', '0'], ['songs about him', '0'], ['christian rock', '0'], ['Bloody Good', '0'], ['soulfood', '0'], ['talent show', '0'], ['Tell it to my heart', '0'], ['502 pop slows', '0'], ['ami', '0'], ['Soundtrack', '0'], ['i feel like i sold out for listening to this', '0'], ['voices that i love', '0']]",N/A
Adelitas Way,artist,N/A,N/A,It's Not Over,song,TRBGMZJ128F42BC17E,Daughtry,1.0,N/A,"[['rock', '100'], ['alternative rock', '60'], ['daughtry', '46'], ['alternative', '38'], ['American Idol', '15'], ['male vocalists', '10'], ['00s', '7'], ['Chris Daughtry', '6'], ['pop', '6'], ['hard rock', '6'], ['Love', '5'], ['pop rock', '5'], ['Its Not Over', '4'], ['favorites', '4'], ['top 40', '3'], ['post-grunge', '3'], ['Daughtry - Its not over', '2'], ['rock ballad', '2'], ['american', '2'], ['Awesome', '2'], ['addictive', '2'], ['british rock', '2'], ['Good Stuff', '2'], ['Ballad', '2'], ['classic rock', '2'], ['2007', '2'], ['USA', '1'], ['Hits 2007', '1'], ['rocks', '1'], ['favourite', '1'], ['WEXP', '1'], ['male', '1'], ['good bands', '1'], ['alt rock', '1'], ['loved', '1'], ['fav', '0'], ['catchy', '0'], ['fanmix - jibbs', '0'], ['Post Grunge', '0'], ['idol', '0'], ['best forever and ever to me untill i die', '0'], ['lehugeur', '0'], ['Adult Alternative', '0'], ['lammis', '0'], ['favs', '0'], ['alleys music', '0'], ['male vocals', '0'], ['2006', '0'], ['male vocalist', '0'], ['Rock i like', '0'], ['thumper', '0'], ['5', '0'], ['melancholie', '0'], ['hit single', '0'], ['good', '0'], ['cool', '0'], ['Favorite', '0'], ['angry', '0'], ['favorite songs', '0'], ['sad', '0'], ['i really should not like this so much', '0'], ['strogg', '0'], ['deep thoughts', '0'], ['THUMPER LIGHT', '0'], ['bekannt', '0'], ['kermiksen turha tagi', '0'], ['rock classique', '0'], ['indie', '0'], ['easy smile', '0'], ['Canadian', '0'], ['radioultra', '0'], ['universal soundtrack', '0'], ['triathlon', '0'], ['coleiscool', '0'], ['slow heavy', '0'], ['my loved ones :p', '0'], ['Vitamin M', '0'], ['LordLex92s', '0'], ['greatlyrics', '0'], ['oughts', '0'], ['fighting dogs', '0'], ['Daughtry- Its Not Over', '0'], ['piniwi', '0'], ['reconcile', '0'], ['just want to feel', '0'], ['My Radio Station', '0'], ['slow', '0'], ['Massari', '0'], ['todays hits', '0'], ['songs about him', '0'], ['christian rock', '0'], ['Bloody Good', '0'], ['soulfood', '0'], ['talent show', '0'], ['Tell it to my heart', '0'], ['502 pop slows', '0'], ['ami', '0'], ['Soundtrack', '0'], ['i feel like i sold out for listening to this', '0'], ['voices that i love', '0']]"
It's Not Over,song,TRANEIV128F92E3AA6,Daughtry,Adelitas Way,artist,N/A,N/A,1.0,"[['rock', '100'], ['alternative rock', '60'], ['daughtry', '46'], ['alternative', '38'], ['American Idol', '15'], ['male vocalists', '10'], ['00s', '7'], ['Chris Daughtry', '6'], ['pop', '6'], ['hard rock', '6'], ['Love', '5'], ['pop rock', '5'], ['Its Not Over', '4'], ['favorites', '4'], ['top 40', '3'], ['post-grunge', '3'], ['Daughtry - Its not over', '2'], ['rock ballad', '2'], ['american', '2'], ['Awesome', '2'], ['addictive', '2'], ['british rock', '2'], ['Good Stuff', '2'], ['Ballad', '2'], ['classic rock', '2'], ['2007', '2'], ['USA', '1'], ['Hits 2007', '1'], ['rocks', '1'], ['favourite', '1'], ['WEXP', '1'], ['male', '1'], ['good bands', '1'], ['alt rock', '1'], ['loved', '1'], ['fav', '0'], ['catchy', '0'], ['fanmix - jibbs', '0'], ['Post Grunge', '0'], ['idol', '0'], ['best forever and ever to me untill i die', '0'], ['lehugeur', '0'], ['Adult Alternative', '0'], ['lammis', '0'], ['favs', '0'], ['alleys music', '0'], ['male vocals', '0'], ['2006', '0'], ['male vocalist', '0'], ['Rock i like', '0'], ['thumper', '0'], ['5', '0'], ['melancholie', '0'], ['hit single', '0'], ['good', '0'], ['cool', '0'], ['Favorite', '0'], ['angry', '0'], ['favorite songs', '0'], ['sad', '0'], ['i really should not like this so much', '0'], ['strogg', '0'], ['deep thoughts', '0'], ['THUMPER LIGHT', '0'], ['bekannt', '0'], ['kermiksen turha tagi', '0'], ['rock classique', '0'], ['indie', '0'], ['easy smile', '0'], ['Canadian', '0'], ['radioultra', '0'], ['universal soundtrack', '0'], ['triathlon', '0'], ['coleiscool', '0'], ['slow heavy', '0'], ['my loved ones :p', '0'], ['Vitamin M', '0'], ['LordLex92s', '0'], ['greatlyrics', '0'], ['oughts', '0'], ['fighting dogs', '0'], ['Daughtry- Its Not Over', '0'], ['piniwi', '0'], ['reconcile', '0'], ['just want to feel', '0'], ['My Radio Station', '0'], ['slow', '0'], ['Massari', '0'], ['todays hits', '0'], ['songs about him', '0'], ['christian rock', '0'], ['Bloody Good', '0'], ['soulfood', '0'], ['talent show', '0'], ['Tell it to my heart', '0'], ['502 pop slows', '0'], ['ami', '0'], ['Soundtrack', '0'], ['i feel like i sold out for listening to this', '0'], ['voices that i love', '0']]",N/A
Adelitas Way,artist,N/A,N/A,It's Not Over,song,TRANEIV128F92E3AA6,Daughtry,1.0,N/A,"[['rock', '100'], ['alternative rock', '60'], ['daughtry', '46'], ['alternative', '38'], ['American Idol', '15'], ['male vocalists', '10'], ['00s', '7'], ['Chris Daughtry', '6'], ['pop', '6'], ['hard rock', '6'], ['Love', '5'], ['pop rock', '5'], ['Its Not Over', '4'], ['favorites', '4'], ['top 40', '3'], ['post-grunge', '3'], ['Daughtry - Its not over', '2'], ['rock ballad', '2'], ['american', '2'], ['Awesome', '2'], ['addictive', '2'], ['british rock', '2'], ['Good Stuff', '2'], ['Ballad', '2'], ['classic rock', '2'], ['2007', '2'], ['USA', '1'], ['Hits 2007', '1'], ['rocks', '1'], ['favourite', '1'], ['WEXP', '1'], ['male', '1'], ['good bands', '1'], ['alt rock', '1'], ['loved', '1'], ['fav', '0'], ['catchy', '0'], ['fanmix - jibbs', '0'], ['Post Grunge', '0'], ['idol', '0'], ['best forever and ever to me untill i die', '0'], ['lehugeur', '0'], ['Adult Alternative', '0'], ['lammis', '0'], ['favs', '0'], ['alleys music', '0'], ['male vocals', '0'], ['2006', '0'], ['male vocalist', '0'], ['Rock i like', '0'], ['thumper', '0'], ['5', '0'], ['melancholie', '0'], ['hit single', '0'], ['good', '0'], ['cool', '0'], ['Favorite', '0'], ['angry', '0'], ['favorite songs', '0'], ['sad', '0'], ['i really should not like this so much', '0'], ['strogg', '0'], ['deep thoughts', '0'], ['THUMPER LIGHT', '0'], ['bekannt', '0'], ['kermiksen turha tagi', '0'], ['rock classique', '0'], ['indie', '0'], ['easy smile', '0'], ['Canadian', '0'], ['radioultra', '0'], ['universal soundtrack', '0'], ['triathlon', '0'], ['coleiscool', '0'], ['slow heavy', '0'], ['my loved ones :p', '0'], ['Vitamin M', '0'], ['LordLex92s', '0'], ['greatlyrics', '0'], ['oughts', '0'], ['fighting dogs', '0'], ['Daughtry- Its Not Over', '0'], ['piniwi', '0'], ['reconcile', '0'], ['just want to feel', '0'], ['My Radio Station', '0'], ['slow', '0'], ['Massari', '0'], ['todays hits', '0'], ['songs about him', '0'], ['christian rock', '0'], ['Bloody Good', '0'], ['soulfood', '0'], ['talent show', '0'], ['Tell it to my heart', '0'], ['502 pop slows', '0'], ['ami', '0'], ['Soundtrack', '0'], ['i feel like i sold out for listening to this', '0'], ['voices that i love', '0']]"
Supernatural,song,TRCLYZD128F93239D6,Daughtry,Adelitas Way,artist,N/A,N/A,1.0,"[['rock', '100'], ['alternative rock', '50'], ['hard rock', '42'], ['post-grunge', '35'], ['modern rock', '21'], ['daughtry', '14'], ['male vocalists', '14'], ['visione fantasmagorica', '7'], ['double speed', '7'], ['sounds of freedom', '7'], ['corrupt', '7'], ['Driving Songs', '7'], ['great song', '7'], ['Post Grunge', '7'], ['ost', '7'], ['Favorite', '7'], ['pop rock', '7'], ['Awesome', '7'], ['favourite', '7'], ['catchy riffs', '0'], ['alternative', '0'], ['indie', '0'], ['female vocalists', '0'], ['britpop', '0'], ['alternative mello rock', '0']]",N/A
Adelitas Way,artist,N/A,N/A,Supernatural,song,TRCLYZD128F93239D6,Daughtry,1.0,N/A,"[['rock', '100'], ['alternative rock', '50'], ['hard rock', '42'], ['post-grunge', '35'], ['modern rock', '21'], ['daughtry', '14'], ['male vocalists', '14'], ['visione fantasmagorica', '7'], ['double speed', '7'], ['sounds of freedom', '7'], ['corrupt', '7'], ['Driving Songs', '7'], ['great song', '7'], ['Post Grunge', '7'], ['ost', '7'], ['Favorite', '7'], ['pop rock', '7'], ['Awesome', '7'], ['favourite', '7'], ['catchy riffs', '0'], ['alternative', '0'], ['indie', '0'], ['female vocalists', '0'], ['britpop', '0'], ['alternative mello rock', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Live Again,song,TRRSBGP128F42627DB,Course of Nature,0.0551592,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['alternative rock', '100'], ['course of nature', '50'], ['Live again', '50'], ['Course of Nature-Live Again', '50'], ['LordLex92s', '25'], ['Maybe', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Wave Goodbye,song,TRCRDXW128F42A22DA,Framing Hanley,0.0529891,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '75'], ['hard rock', '50'], ['Nu Metal', '50'], ['alternative', '25'], ['framing hanley', '25']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Time To Shine,song,TRINASS12903CE3F80,Saliva,0.0489144,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['hard rock', '100'], ['rock', '25'], ['wrestling', '25'], ['wwe', '25'], ['XYZ', '25'], ['4-STAR', '25'], ['wwe ppv theme', '25'], ['extreme rules', '25'], ['wwe extreme rules', '25'], ['wwe extreme rules theme', '25'], ['extreme rules theme', '25']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,All Is Numb,song,TRCYKWB12903CD838E,32 Leaves,0.047817,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['32 Leaves', '100'], ['rock', '90'], ['alternative', '90'], ['alternative rock', '90'], ['Post Grunge', '40'], ['loved', '30'], ['hard rock', '30'], ['all is numb', '30'], ['kappe', '20'], ['kappe indi', '20'], ['Nu Metal', '20'], ['Love', '20'], ['chapot', '20'], ['get it later', '10'], ['6 mellow', '10'], ['barbaras fav', '10'], ['Discoverockult', '10'], ['LordLex92s', '10'], ['punk love', '10'], ['from AZ', '10'], ['wannabe tool-apc-deftones', '10'], ['checkitout', '10'], ['medium', '10'], ['Workout', '10'], ['relax', '10'], ['post-grunge', '10'], ['soft rock', '10'], ['metal', '10'], ['3', '0'], ['raggae', '0'], ['Great Unknown Bands', '0'], ['GRUNGE OF ME', '0'], ['cool of me', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Eyes Wired Shut,song,TRRHAGL128F92F6FF5,Edgewater,0.0466968,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['Edgewater', '75'], ['hard rock', '66'], ['alternative rock', '58'], ['alternative', '33'], ['american', '25'], ['nice sound', '16'], ['eyes wired shut', '16'], ['The Punisher', '16'], ['rock ballad', '16'], ['good song', '16'], ['Workout', '16'], ['male vocals', '16'], ['egdewater', '16'], ['favorite songs', '16'], ['favorites', '16'], ['Awesome', '16'], ['Soundtrack', '16'], ['post-grunge', '16'], ['cool', '16'], ['favourite', '16'], ['metal', '16'], ['tgsyg', '8'], ['edge', '8'], ['desert island discs', '8'], ['00s', '8'], ['alternative metal', '8'], ['trii', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Hemorrhage (In My Hands),song,TRBTIOU128F427C54A,Fuel,0.0459994,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '84'], ['alternative', '64'], ['90s', '39'], ['post-grunge', '37'], ['fuel', '33'], ['hard rock', '17'], ['Grunge', '15'], ['00s', '10'], ['favorites', '8'], ['favorite songs', '7'], ['sad', '5'], ['emotional', '5'], ['male vocalists', '4'], ['Hemorrhage', '4'], ['Favorite', '4'], ['2000', '3'], ['Post Grunge', '3'], ['twilight', '3'], ['male vocalist', '3'], ['loved', '3'], ['great', '3'], ['metal', '3'], ['best of artist', '2'], ['rich man', '2'], ['buzz ballads', '2'], ['top 40', '2'], ['neverbackdown', '2'], ['Fuel-Hemorrhage', '2'], ['NEVER BELIEVE IN ANYONE BUT YOURSELF', '2'], ['angry', '2'], ['american', '2'], ['Awesome', '2'], ['Love', '2'], ['alt rock', '2'], ['alternative metal', '2'], ['favourite', '2'], ['modern rock', '2'], ['feelgood', '1'], ['ro-may07', '1'], ['Stephenie Meyer Twilight Series Playlist', '1'], ['kick ass', '1'], ['Fuel - Hemorrhage', '1'], ['ro-loud', '1'], ['woah dude', '1'], ['ro-june07', '1'], ['midnight sun', '1'], ['High School', '1'], ['work', '1'], ['depressing', '1'], ['workingout', '1'], ['hot', '1'], ['songs you should know', '0'], ['grew up on', '0'], ['Zara', '0'], ['songs to listen to on repeat', '0'], ['faves playlist', '0'], ['Wearing out my iPod', '0'], ['radyo odtu', '0'], ['monika2107', '0'], ['dasr selected radio', '0'], ['flavio', '0'], ['A must to listen', '0'], ['deep thoughts', '0'], ['ro-2007', '0'], ['top 500 Essential songs', '0'], ['CADFINEM', '0'], ['summer 2006', '0'], ['mustHave', '0'], ['Fekkin nice', '0'], ['grossos', '0'], ['meGuto', '0'], ['vlad', '0'], ['fatalist', '0'], ['ro-rock', '0'], ['grovey', '0'], ['head wave', '0'], ['top rated stooma', '0'], ['My 90s', '0'], ['Frat', '0'], ['songs i never get sick of', '0'], ['energy drink', '0'], ['kwl', '0'], ['sound storm', '0'], ['punkd', '0'], ['Good St', '0'], ['Ro-music', '0'], ['songs I absolutely love', '0'], ['tportal', '0'], ['test listening - something', '0'], ['olde fave', '0'], ['enjoyed', '0'], ['sgn playlist', '0'], ['like nickelback', '0'], ['for crying', '0'], ['Fuel -In my hands', '0'], ['lando alt 1', '0'], ['thablackphoenix', '0'], ['Grunge Plus', '0'], ['riesenhits', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Blood On My Hands,song,TRIDBPY12903CD837D,32 Leaves,0.0452288,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['alternative rock', '100'], ['rock', '83'], ['hard rock', '50'], ['alternative', '50'], ['alternative metal', '33'], ['favorite songs', '16'], ['<3', '16'], ['songs', '16'], ['32 Leaves', '16'], ['Blood on my hands', '16'], ['LordLex92s', '16'], ['favorites', '0'], ['32 Leaves - Blood on My Hands', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Jesus Or A Gun,song,TRFDDSA128F92EF152,Fuel,0.0450372,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['alternative rock', '100'], ['rock', '88'], ['hard rock', '58'], ['fuel', '41'], ['alternative', '35'], ['post-grunge', '17'], ['jesus or a gun', '11'], ['rolig', '11'], ['favorites', '11'], ['aggressive', '11'], ['tinkaponka', '5'], ['jjl-rock', '5'], ['allenamento', '5'], ['Fuel - or a gun', '5'], ['funnet', '5'], ['kappe metall', '5'], ['music for Burnout Paradise', '5'], ['131', '5'], ['Fuel - Jesus or a gun', '5'], ['future spn mix', '5'], ['tportal', '5'], ['sound storm', '5'], ['checkthis', '5'], ['songs I absolutely love', '5'], ['surge', '5'], ['modern hard rock', '5'], ['sunburn', '5'], ['like it', '5'], ['download', '5'], ['Post Grunge', '5'], ['90s', '5'], ['favorite songs', '5'], ['crossover', '5'], ['Grunge', '5'], ['classic rock', '5'], ['heard on Pandora', '0'], ['joeykinkead', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Down And Out,song,TRRCXYO12903D09598,Tantric,0.0442586,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['hard rock', '67'], ['tantric', '46'], ['violin', '46'], ['Awesome', '35'], ['Like', '14'], ['Rock i like', '10'], ['My Personal favorites', '7'], ['Listen to more of', '7'], ['Down and Out', '7'], ['favs', '7'], ['Tracks2Get', '7'], ['post-grunge', '7'], ['alternative metal', '7'], ['need2dwnld', '7'], ['quartercentury', '3'], ['the end begins', '3'], ['unstreamable yet streamable', '3'], ['over you', '3'], ['weird in a good way', '3'], ['The ball of string', '3'], ['Lori', '3'], ['deep and meaningful', '3'], ['donwload these', '3'], ['all mee', '3'], ['up', '3'], ['woot', '3'], ['Maybe', '3'], ['metal', '3'], ['00s', '3'], ['Post Grunge', '3'], ['Grunge', '3'], ['Love', '3'], ['amazing', '3'], ['Favorite', '3'], ['pop rock', '3'], ['wrif-fm', '0'], ['alternative rock', '0'], ['strings', '0'], ['Symphonic Rock', '0'], ['Workout', '0'], ['violin rock', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Hover,song,TRNHFTV128E0792841,TRUSTcompany,0.0377453,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative', '78'], ['alternative rock', '50'], ['hard rock', '42'], ['Favorite', '28'], ['Hover', '14'], ['alternative metal', '14'], ['Nu Metal', '14'], ['punk love', '7'], ['lost and found', '7'], ['mariana', '7'], ['ls', '7'], ['muito bom', '7'], ['rolig', '7'], ['00s', '7'], ['Favorite Artists', '7'], ['favorites', '7'], ['Soundtrack', '7'], ['Torquemada', '7'], ['alt rock', '7'], ['spaces between', '7'], ['TRUSTcompany', '0'], ['q2', '0'], ['Sounds like deftones', '0'], ['flimsy voice', '0'], ['misshes station', '0'], ['so good', '0'], ['Love it', '0'], ['angst', '0'], ['punk', '0'], ['metal', '0'], ['heard on Pandora', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Ride With Me,song,TRGTKNG128F92EDA7C,Decyfer Down,0.0376074,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['alternative rock', '100'], ['christian hard rock', '66'], ['3-star', '66'], ['three days grace', '33'], ['Decyfer Down', '33']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Come Again,song,TRVZREG128F42364FC,Thornley,0.0348167,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '70'], ['Thornley', '30'], ['alternative', '30'], ['come again', '30'], ['3-star', '20'], ['Suppose you can listen', '20'], ['Good Stuff', '20'], ['amazing vocals', '10'], ['revisit', '10'], ['groovin', '10'], ['hard alternative rock', '10'], ['check these guys out', '10'], ['holy fuck', '10'], ['altergrock', '10'], ['frocks', '10'], ['first time I heard this I completely dug it', '10'], ['final3', '10'], ['cd2', '10'], ['sing it brother', '10'], ['Duce Tunes', '10'], ['geekermon', '10'], ['voice is clear and full of style', '10'], ['Mellow', '10'], ['Grunge', '10'], ['alt rock', '10'], ['hard rock', '10'], ['post-grunge', '10'], ['favorites', '10'], ['beautiful', '10'], ['Favourites', '10'], ['modern rock', '10'], ['yes', '10'], ['Post Grunge', '10'], ['orange', '10'], ['Love it', '10'], ['Alternative Funk Rock', '10'], ['Good Rock', '10'], ['heard on Pandora', '1'], ['franz ferdinand', '0'], ['q3', '0'], ['incubus', '0'], ['thornley - great', '0'], ['Metal and Rock', '0'], ['kid rock', '0']]"
Scream,song,TRAAAAK128F9318786,Adelitas Way,Falling to Pieces,song,TRYEASL128F42364FB,Thornley,0.0329912,"[['alternative rock', '100'], ['rock', '60'], ['hard rock', '60'], ['heavy metal', '20'], ['00s', '20'], ['5', '20'], ['check this out', '20'], ['cryb test 4', '20'], ['adelitas way scream', '0']]","[['rock', '100'], ['alternative rock', '84'], ['Thornley', '53'], ['hard rock', '46'], ['metal', '38'], ['songs that got me into the band', '23'], ['end gut', '15'], ['weird in a good way', '15'], ['bang your head', '15'], ['Duce Tunes', '7'], ['ROCK-ADD ENERGY', '7'], ['LordLex92s', '7'], ['must dl', '7'], ['5', '7'], ['Alternative Funk Rock', '7'], ['00s', '7'], ['yeah', '7'], ['favorites', '7'], ['heard on Pandora', '0'], ['Awesome', '0'], ['ls', '0'], ['3-star', '0'], ['good', '0']]"
